time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-05-10T21:58:21.700Z,37.6433,75.3098,7.62,5.4,mww,,31,2.901,0.92,us,us10008rah,2017-08-01T23:02:28.040Z,"131km ESE of Murghob, Tajikistan",earthquake,6.4,3.2,0.062,25,reviewed,us,us
2017-05-06T09:52:28.780Z,36.6476,71.5463,400.57,5,mb,,33,0.885,0.83,us,us10008q25,2017-07-29T03:16:25.040Z,"4km SSE of Ashkasham, Afghanistan",earthquake,7.7,4.4,0.032,318,reviewed,us,us
2017-05-05T17:58:35.880Z,13.7401,92.548,19.13,5,mb,,68,2.08,0.63,us,us10008puy,2017-07-29T03:16:23.040Z,"226km N of Bamboo Flat, India",earthquake,6.9,3.8,0.05,129,reviewed,us,us
2017-04-17T23:04:36.490Z,36.5405,70.8619,194.44,5.1,mb,,30,0.627,0.73,us,us10008igs,2017-07-11T01:48:35.040Z,"36km S of Jarm, Afghanistan",earthquake,5.5,4,0.033,301,reviewed,us,us
2017-04-05T16:44:36.740Z,14.4592,93.0491,31.8,5.3,mb,,49,3.829,0.85,us,us10008ep4,2017-06-23T07:26:32.040Z,"Andaman Islands, India region",earthquake,7.3,4.1,0.052,126,reviewed,us,us
2017-03-13T14:19:06.670Z,17.3991,95.9998,10,5.1,mb,,42,0.551,0.52,us,us100088mq,2017-06-07T00:33:37.040Z,"34km SE of Tharyarwady, Burma",earthquake,6.9,1.8,0.061,89,reviewed,us,us
2017-03-04T02:11:53.820Z,25.1865,94.6658,74.07,5.1,mb,,27,1.009,0.95,us,us100086x4,2017-05-24T02:48:15.040Z,"55km SSE of Phek, India",earthquake,6.5,5.1,0.042,181,reviewed,us,us
2017-02-24T12:02:50.650Z,24.0437,93.4825,59.8,5,mb,,43,0.769,0.81,us,us20008m0e,2017-05-17T01:19:38.040Z,"37km SSW of Churachandpur, India",earthquake,5.1,5,0.048,137,reviewed,us,us
2017-02-06T17:03:06.530Z,30.6544,79.1645,16.05,5.1,mwb,,39,5.823,0.67,us,us20008hyg,2017-12-06T15:40:08.387Z,"36km NW of Pipalkoti, India",earthquake,7.9,3.2,0.059,28,reviewed,us,us
2017-02-01T10:07:44.180Z,30.6877,83.3674,10,5.1,mb,,30,3.419,0.72,us,us10007wlj,2017-04-27T01:38:40.040Z,"138km NNW of Zhadong, China",earthquake,7.6,1.7,0.045,163,reviewed,us,us
2017-01-03T18:49:53.560Z,23.3168,94.5035,88.62,5.1,mb,,46,0.927,0.94,us,us10007phv,2017-03-27T23:53:20.040Z,"36km SSE of Mawlaik, Burma",earthquake,4.7,4.9,0.044,170,reviewed,us,us
2017-01-03T09:09:02.080Z,24.0151,92.0177,32,5.7,mww,,20,1.375,0.86,us,us10007pfk,2017-11-13T05:45:58.470Z,"20km ENE of Ambasa, India",earthquake,6.7,1.8,0.071,19,reviewed,us,us
2016-12-20T10:04:39.360Z,37.1442,84.9583,10,5.6,mww,,15,7.182,0.83,us,us200082s5,2017-03-16T02:31:30.040Z,"120km SSW of Qiemo, China",earthquake,7.6,1.7,,,reviewed,us,us
2016-12-08T00:07:34.110Z,36.454,71.1604,87.51,5,mb,,45,0.818,0.8,us,us20007z1b,2017-03-03T07:06:07.040Z,"41km SW of Ashkasham, Afghanistan",earthquake,5,5.8,0.063,81,reviewed,us,us
2016-12-04T21:34:23.310Z,32.4198,92.116,10,5.2,mwb,,26,2.837,0.77,us,us10007euj,2017-03-03T07:06:02.040Z,"22km N of Segong, China",earthquake,7.4,1.7,0.083,14,reviewed,us,us
2016-12-01T16:52:50.110Z,29.979,80.6321,31.96,5.2,mb,,41,4.687,0.76,us,us10007e1x,2017-02-23T00:11:55.040Z,"17km NNE of Dharchula, India",earthquake,7,4.4,0.047,152,reviewed,us,us
2016-11-27T23:35:21.020Z,27.8015,86.5319,10,5.4,mb,,30,1.081,0.67,us,us10007cuh,2017-02-23T00:11:51.040Z,"17km W of Namche Bazar, Nepal",earthquake,5.3,1.7,0.033,314,reviewed,us,us
2016-11-17T21:45:56.570Z,32.6865,96.1511,10,5,mb,,28,5.231,0.63,us,us100079n7,2017-02-09T03:02:33.040Z,"87km WSW of Gyegu, China",earthquake,7.4,1.8,0.042,179,reviewed,us,us
2016-11-15T16:02:56.270Z,36.5242,70.8421,190.95,5.4,mww,,26,0.637,0.67,us,us100078bp,2017-02-09T03:02:29.040Z,"37km S of Jarm, Afghanistan",earthquake,6.1,2.7,,,reviewed,us,us
2016-10-20T00:40:01.710Z,36.4437,71.2694,106.95,5.1,mb,,57,1.128,1.19,us,us20007fi0,2017-01-15T01:13:52.040Z,"35km SW of Ashkasham, Afghanistan",earthquake,6.1,5.9,0.047,146,reviewed,us,us
2016-10-17T07:14:50.870Z,32.8959,94.8768,35,5.9,mww,,11,4.519,0.82,us,us20007eqh,2017-01-15T01:13:58.040Z,"134km NE of Dartang, China",earthquake,4.6,1.7,,,reviewed,us,us
2016-10-01T08:04:34.330Z,34.9048,73.6822,10,5.4,mb,,54,1.297,0.86,us,us10006ucc,2017-01-03T21:10:40.040Z,"41km NNW of Athmuqam, Pakistan",earthquake,7,1.8,0.046,160,reviewed,us,us
2016-09-15T02:30:46.460Z,10.1636,91.7111,20.94,5,mb,,102,1.796,0.8,us,us10006pnx,2016-12-07T02:56:16.040Z,"201km SW of Port Blair, India",earthquake,7.4,4.6,0.077,54,reviewed,us,us
2016-08-24T10:34:54.580Z,20.9228,94.569,82,6.8,mww,,17,1.802,1.05,us,us10006gbf,2017-10-17T04:43:40.601Z,"26km W of Chauk, Burma",earthquake,5.9,1.9,,,reviewed,us,us
2016-08-23T02:11:12.810Z,23.8972,94.6983,101.74,5,mwr,,22,0.491,0.71,us,us10006fx8,2016-11-19T04:58:35.040Z,"40km NE of Mawlaik, Burma",earthquake,5.5,3.6,0.089,12,reviewed,us,us
2016-08-01T10:01:08.200Z,21.3109,94.9305,131.47,5.1,mb,,29,1.304,0.94,us,us1000696h,2016-10-19T04:52:04.040Z,"17km W of Pakokku, Burma",earthquake,5.7,4,0.035,263,reviewed,us,us
2016-07-24T23:09:49.190Z,14.9748,96.4342,27.75,5,mb,,81,1.898,1.04,us,us1000680u,2016-09-24T22:47:18.040Z,"165km SSE of Pyapon, Burma",earthquake,7.8,5.5,0.117,23,reviewed,us,us
2016-06-23T11:35:38.380Z,36.4695,70.6894,210,5.3,mww,,22,0.661,0.97,us,us2000668i,2016-08-27T02:15:36.040Z,"45km SSW of Jarm, Afghanistan",earthquake,6.4,1.8,,,reviewed,us,us
2016-05-22T02:05:54.680Z,28.5654,87.4796,4.44,5.1,mb,,39,2.091,0.71,us,us10005j6d,2016-08-03T22:33:41.040Z,"36km WNW of Gyangkar, China",earthquake,5.5,2.9,0.039,213,reviewed,us,us
2016-05-22T01:48:48.130Z,28.4538,87.5326,9.36,5.4,mwc,,36,2.093,0.9,us,us10005j6b,2016-11-10T22:15:52.322Z,"26km WNW of Gyangkar, China",earthquake,6.5,3.5,,,reviewed,us,gcmt
2016-05-11T01:15:47.220Z,32.0221,95.0268,8,5.2,mwb,,25,4.072,0.89,us,us10005gf4,2017-10-16T18:27:15.940Z,"66km NW of Gyamotang, China",earthquake,7.3,1.8,0.05,39,reviewed,us,us
2016-05-09T16:03:47.250Z,11.3506,91.5047,10,5.2,mb,,36,8.122,0.77,us,us10005g2n,2016-07-20T18:10:50.040Z,"137km WSW of Bamboo Flat, India",earthquake,7.6,1.7,0.046,155,reviewed,us,us
2016-04-24T21:43:10.390Z,37.0018,71.4798,114.79,5.1,mwr,,39,0.546,0.98,us,us20005lgb,2016-07-08T02:49:21.040Z,"32km NNW of Ishkashim, Tajikistan",earthquake,6.6,4,0.068,21,reviewed,us,us
2016-04-19T20:32:57.090Z,10.2153,93.6895,10,5.3,mb,,36,1.706,0.91,us,us20005jx7,2016-06-27T23:02:20.040Z,"190km SSE of Port Blair, India",earthquake,6.7,1.7,0.045,167,reviewed,us,us
2016-04-13T13:55:17.800Z,23.0944,94.8654,136,6.9,mww,,14,3.001,1.03,us,us20005hqz,2017-10-11T21:24:07.484Z,"75km SE of Mawlaik, Burma",earthquake,7.1,1.8,,,reviewed,us,us
2016-04-10T10:28:58.720Z,36.4725,71.1311,212,6.6,mww,,17,0.789,1.03,us,us20005gsg,2017-10-16T18:27:01.567Z,"42km WSW of Ashkasham, Afghanistan",earthquake,6.5,1.8,,,reviewed,us,us
2016-04-05T07:42:24.390Z,25.7595,90.5452,10,5,mb,,37,1.198,0.81,us,us20005fj8,2016-06-17T21:45:34.040Z,"38km SE of Lakhipur, India",earthquake,5.1,1.7,0.048,140,reviewed,us,us
2016-02-23T00:33:38.210Z,32.0565,95.0448,10,5.1,mb,,19,7.044,0.84,us,us10004rwh,2016-11-10T22:13:39.070Z,"68km NNW of Gyamotang, China",earthquake,8.5,1.8,0.037,236,reviewed,us,us
2016-02-21T18:10:00.970Z,27.9633,84.6943,16.72,5.1,mb,,39,0.604,0.87,us,us10004rjm,2016-05-03T23:44:15.040Z,"40km NE of Bharatpur, Nepal",earthquake,7,4.5,0.059,94,reviewed,us,us
2016-02-21T09:12:08.130Z,36.4892,70.8607,174,5.2,mww,,40,0.675,0.73,us,us10004rhs,2016-11-10T22:13:25.977Z,"41km S of Jarm, Afghanistan",earthquake,2.5,1.9,,,reviewed,us,us
2016-02-05T16:20:11.740Z,27.8782,85.3377,23.53,5.2,mb,,44,0.166,0.82,us,us20004y4t,2016-04-19T01:33:19.040Z,"19km N of Kathmandu, Nepal",earthquake,9.2,4.4,0.052,120,reviewed,us,us
2016-02-04T15:30:49.930Z,14.2933,93.204,10,5.1,mb,,47,2.659,1.06,us,us20004x3a,2016-04-14T22:51:44.040Z,"291km N of Bamboo Flat, India",earthquake,7.2,1.7,0.048,142,reviewed,us,us
2016-01-26T23:19:08.860Z,36.7511,69.8659,307.31,5.2,mb,,38,0.68,0.85,us,us20004uwb,2016-11-10T22:10:14.042Z,"19km N of Farkhar, Afghanistan",earthquake,6.2,4,0.035,272,reviewed,us,us
2016-01-23T04:54:11.320Z,36.6676,71.3509,94.89,5,mb,,44,0.771,0.91,us,us10004gkq,2016-11-10T22:09:35.621Z,"16km W of Ashkasham, Afghanistan",earthquake,4.8,4.5,0.046,150,reviewed,us,us
